Names,Prices
"Cebe Nussa Chocolate Spread, 400 gm ",EGP44.75
Dobella jelly lollipop 45gm ,EGP14.95
Katilo Natural Ghee 450 gm ,EGP98.95
Candy Pop Spinneys Lollipop 55gm ,EGP19.95
Royal herbs for breathing 20 sachets ,EGP22.95
ROILL HERPES ENERGIZE 20 PCESE ,EGP22.95
ROILL HERPES DREAM 20 PCESE ,EGP22.95
ROILL HERPES LIGHTEN 20 PCESE ,EGP22.95
ROILL HERPES CALM20 PCESE ,EGP22.95
Funday Jungle animals shaped biscuits 40gm ,EGP6.00
Sweet Chili Ridge Potatoes ,EGP6.00
Americana Beans With ghee 400g ,EGP11.50
Dr.Oetker Cake MiX Vanilla 500g ,EGP29.95
Hero Jam Mixed Fruits 340gm ,EGP33.50
BELOTTI CAPPERI 290 ml ,EGP162.95
Riso Scotti Arborio Long Grain Rice 1kg ,EGP129.95
Nahrain Basmati Rice 1Kg ,EGP59.95
"El Hanim Vegetable Ghee, 1.5Kg ",EGP67.50
Shahd Pure SunFlower Oil 2.700L ,EGP116.95
Twinings Earl Grey Tin 200gm ,EGP231.50
ponti black olives 400 ml ,EGP74.95
Dobella for Cakes & Biscuits Flour 1kg ,EGP23.95
Dobella Vine Leaves 450 g ,EGP34.95
Free Go Basil Seed Drink Apricot 290 ml ,EGP20.95
Derya soy sauce 250 gm ,EGP27.95
Maram black honey 750 g ,EGP15.95
Kitkat mini chocolate biscuit 122.5 gm ,EGP79.95
Guylian Belgian Chocolate Salted Caramel Milk Chocolate Bar 100g ,EGP63.75
Rehana Baladi Egyptian White Beans -500gm ,EGP14.95
Rihanh fava beans 500 gm ,EGP18.95
El Bawadi Tahina 480g+Harvest vinger 1Liter ,EGP39.75
Maram Clover Honey with Nuts 450 gm ,EGP55.50
Italiano Spaghetti Pasta 1kg ,EGP25.75
Delice Ghee Natural 750 g ,EGP171.95
HEINZ Mayonnaise 310 g2 10% ,EGP57.95
Dr.Oetker Cake Mix Dark Chocolate 500g ,EGP33.95
Corona fun fruit choco with coconut 1P ,EGP5.00
Corona crispy Choco king size1P ,EGP10.00
corona extra milk choco King size1P ,EGP10.00
Movenpick Café Macchiato ,EGP44.95
Movenpick Café Espresso 200 gm ,EGP44.95
ISIS green coffee 20 filters ,EGP38.95
Palermo Pasta fusilli 400g ,EGP8.75
Palermo Pasta Vermicelli 400g ,EGP8.75
Palermo Pasta Rings 400g ,EGP8.75
Picky baker Flour Pizza 1k ,EGP15.50
Palermo Pasta Small Rings 400g ,EGP8.95
Palermo Pasta Shells 400g ,EGP8.95
Palermo Pasta Spaghetti 400g ,EGP8.75
KitKat Mini Moments Cinnabon - 119G ,EGP79.95
Roshen Chocolate & Caramel 40gm ,EGP13.50
FRESHLY WHOLE KERNEL SPOON185gm ,EGP21.95
Lamar guava juice without sugar 1 L ,EGP26.50
Al-Sultan Mixed Oil 680 gm ,EGP19.95
Mero Tomato Paste Can 300 gm ,EGP4.95
Afia Corn Plus Oil 1.6 kg ,EGP82.95
Wadi Mixed Pickles 1g ,EGP25.95
GALAXY Choco.Mini 13 Pic 162g ,EGP65.00
 Roots safflower oil 1.8 kg ,EGP72.95
Roots Corn Oil 1.8 kg ,EGP76.95
SHEIKH EL ARAB white rice 5 kg ,EGP72.95
Aldoha Mahshi Rice500g ,EGP39.95
Aldoha Oriental Rice500g ,EGP39.95
Aldoha Sayadia Rice500g ,EGP39.95
Red Bull Energy Drink Sugar Free250 ml *4 pic ,EGP85.95
Extra food Kalamata Olives 720g ,EGP53.95
Extra food Royal Mixed Pickles 720g ,EGP47.95
Green Mojito 330 ml ,EGP11.95
Green pink grapefruit 330 ml ,EGP11.95
Carolina Garden Beans Chickpeas 400gm ,EGP8.95
Carolina Garden Beans Chili 400gm ,EGP8.95
Carolina Garden Beans Ghee 400 gm ,EGP8.95
"Juno orange Natural Nectar ,235ml ",EGP4.25
Juno Apple Natural Nectar 235 ml ,EGP4.25
Juno Cocktail Natural Nectar 235 ml ,EGP4.25
Lixir Mango Juice 235 ml ,EGP5.75
Lixir Pineapple Juice 235 ml ,EGP5.75
Lixir Apple Juice 235ml ,EGP5.75
Alameed Italian Torino Coffee 250 gm ,EGP154.95
" Al-Ameed Coffee French Coffee - One Pack, 250 gm ",EGP154.95
"Al-Ameed Coffee medium Turkish Coffee - One Pack, 250 gm ",EGP154.95
Alameed Coff Medium Cardamon 250 gr ,EGP154.95
fatafeat sugar White sugar 1kg ,EGP13.95
Carolina Gardens Lebanese Mix 400 gm ,EGP8.95
Fatafeat purpose white 1 kg ,EGP11.95
Katilo natural ghee 900gm ,EGP164.95
Vitrac Strawberry Syrup 650 Ml ,EGP38.25
Fern Butter Ghee 700 gm ,EGP138.25
regina Pasta penne 400g ,EGP12.50
regina Pasta spaghetti 400g ,EGP12.50
regina Pasta vermiceli 400g ,EGP12.50
regina Pasta small rings 400g ,EGP12.50
regina Pasta rice 400gm ,EGP12.50
regina Pasta ribbon 400g ,EGP12.50
Regina Pasta Snails 400Gm ,EGP12.50
regina Pasta elbow 400gm ,EGP12.50
regina Pasta big rings 400gm ,EGP12.50
"Regina Alphabet + Number Pasta, 400 Gm ",EGP12.50
Vitrac Rose Syrup 650 Ml ,EGP38.25
Dili Carob Drink 1L ,EGP34.95
Dili Doum Drink 1L ,EGP34.95
Indiana basmati rice 5kg ,EGP284.95
regina Pasta Pipe 400g ,EGP12.50
regina Pasta Twist 400gm ,EGP12.50
Vitrac Mint Syrup 650 ml ,EGP51.25
Al Asil Sunflower Oil 1.5L ,EGP59.95
Shahy Freekeh 500 gm ,EGP17.25
El Matbakh El Masry Spaghetti Pasta 1kg ,EGP11.95
Elmatbakh Penne Pasta – 1Kg ,EGP11.95
kikkoman soy sauce 296 ml ,EGP57.25
Freshly Kernel Corn Whole - No Sugar No Salt 340 gm ,EGP32.95
Shahd Corn Oil 2.700 liters ,EGP140.95
Knorr MIX BASHAMEL 75GM ,EGP5.00
Maram Clover Squeeze Blossom Honey 850 GM ,EGP55.90
Emirates Pasta vermicelli 400g ,EGP10.00
Emirates Pasta Rice 400g ,EGP10.00
Knorr Vegetarian Spicy 35gm( ,EGP2.00
Knorr Fine Foods Vegetar 35 gm ,EGP2.00
FRESHLY STEAK SAUCE ,EGP99.95
FRESHLY HOT SPICY STEAK SAUCE ,EGP99.95
Emirates Pasta Sedano Medium 400g ,EGP10.00
Emirates pasta vite 400gm ,EGP10.00
Emirates Pasta Penne Riggati 400gm ,EGP10.00
Emirates Macaroni Corrugated Corni 400gm ,EGP10.00
Regina Pasta Shells - 400g ,EGP12.50
Regina Pasta Fusilli - 400g ,EGP12.50
Moms Food Ketchup Chili340 g ,EGP12.75
Wadi Food Extra Olive Oil 1L+ 250g ,EGP191.95
AL NAKAA white rice5 kg ,EGP78.95
Al-Badr white rice 1 kg ,EGP16.50
Halwani Tahina White 475 g ,EGP32.00
LORO SUNFLOWER OIL 1LITTER ,EGP31.95
Yollo's Corn Flakes Plain 250 gm ,EGP27.95
Alfa Orange juice Fresh1L ,EGP26.95
Alfa Orange juice Fresh 750g ,EGP14.95
Alfa Orange juice Fresh 330 Ml ,EGP9.95
Al Tahya Fava Beans Plain 400g ,EGP16.50
"Harvest Strained Fava Beans, 400 gm - 2 Pieces ",EGP18.95
Harvest Fava Beans Pickled Lemon 400gm 2pcs Dis15% ,EGP18.95
Regina Pasta Linguini 1k ,EGP27.95
Almarai Orange Juice 235 ml Carton ,EGP5.50
Almarai Guava Juice 235 ml ,EGP5.50
Almarai Apple Juice 235 ml ,EGP5.50
Almarai Mango Juice 235 ml ,EGP5.50
Sheraton Pure Butter - 800 Gm ,EGP155.95
Moms Food Tomato Sauce 320 gm ,EGP7.50
masreya Pasta vermiceli 350g ,EGP7.75
masreya Pasta small rings 350g ,EGP7.75
masreya Pasta elbow 350g ,EGP7.75
masreya Pasta fusilli 350g ,EGP7.75
masreya Pasta snails 350g ,EGP7.75
masreya Pasta shells 350g ,EGP7.75
Masreya Twist Pasta 350 g ,EGP7.75
Masreya Pipe Pasta 350 g ,EGP7.75
Masreya Fiocchi Pasta 350g ,EGP7.75
Masreya Macaroni Pasta - 350 grams ,EGP7.75
Heinz Tomato Ketchup - 850 gm ,EGP43.75
Daria plain fava beans 400g ,EGP5.75
Lipton Yellow Label Black Tea 100 Bags +Mug ,EGP41.50
Nestle Fizz Sparkling 240ml ,EGP7.95
Hero Clover Honey Squeeze 500 ,EGP73.50
Tilda Brown Basmit Rice 1 Kg ,EGP71.50
Nesquik Choco Cereal 330gm ,EGP51.95
Hero Spring Blossom Honey Squeeze - 500 gm ,EGP73.50
Walkers butter biscuits chocolate 40 g ,EGP17.95
YAMAMA LEMON CONCENTRATE 1L ,EGP45.25
 YAMAMA ROSE WATER300ML ,EGP34.50
YAMAMA BOLSSOM WATER 300MLL ,EGP34.50
YAMAMA LEMON CONCENTRATE330.ML ,EGP21.95
D-AUCY SWEET CORN 340G ,EGP29.50
Werther's Original Creamy Filling - 125 gm ,EGP40.95
California Gardens Green Olives Sliced 335 gm ,EGP12.95
 California Garden Whole Mushroom 400gm ,EGP36.95
Snickers 4+1 ,EGP60.00
Americana red kidney beans 400g ,EGP16.50
Americana White Beans 400gm ,EGP15.50
"Americana Peas, cooked 400gm ",EGP12.00
Olivia Onion Pickled 720g ,EGP28.95
Olivia Whole Cucumber Pickled 720g ,EGP27.75
Olivia Olivia Lupine 950g ,EGP37.95
Quality Nuts Dates 16 Pcs ,EGP17.50
Olivia Mixed Pickled 720g ,EGP12.50
Hero Citrus Honey Squeeze - 500 gm ,EGP73.50
Lite Bite Quinoa Date Bites with Almond and Orange ,EGP17.95
Lite Bite Quinoa Date Bites with Hazelnut and Dark ,EGP17.95
Al Tahan Dates Ali Wort500g ,EGP44.95
Al-Tahhan semi-dry dates 400g ,EGP51.95
 Olymp kalamata whole olives 36 ,EGP43.75
Al-Tahhan Saudi Arabia megdool dates 400g ,EGP102.95
Al-Tahhan Saudi Arabia Barhy dates 400g ,EGP32.95
Al-Tahhan dates &Chocolate bags 100g ,EGP19.95
Al-Tahhan dates & white Chocolate 100g ,EGP23.95
Al-Tahhan dates &Caramel 100g ,EGP23.95
Moment caramel syrup 180 gm ,EGP15.75
Dark chocolate almond scrunch 35 g ,EGP23.95
Dark chocolate almond and cranberry scrunch 35 g ,EGP23.95
Scrunch dark chocolate mint 35 g ,EGP23.95
Choice Lemon Juice 250g ,EGP15.50
Bread way large rusk ,EGP12.00
Roshen Milk Bubble Chocolate 80g ,EGP34.25
Dumati ground breadcrumbs 500g ,EGP11.95
amr baby sweet corn 400g ,EGP36.75
Scrunch dark chocolate with honeycomb 35gm ,EGP23.95
Abu Auf Hibiscus 250gm ,EGP31.95
Hero Peanut Butter - 300 gm Crunchy ,EGP51.95
Nucreama Choco/Hazel Sp.400gr ,EGP48.50
Halawani Halawah Plain ,EGP47.95
Olives Kalamata colossal 1K ,EGP156.95
heinz ketchup 513gm + free spicy ketchup 200gm ,EGP33.95
El mizan tahina 150Gm ,EGP12.50
Domty Creamy Chocolate 380gm ,EGP92.95
Poppins Choco Bumps 250 g ,EGP34.95
Egyptian rice Sofra 1 kg ,EGP12.95
ROSHEN BLACK CHOCOLATE WITH SALTED ALMONDS M / U 85G ,EGP37.75
Roshen Dark Chocolate 47% 85g ,EGP37.75
AbuAuf Shelled Walnuts 1kg ,EGP360.00
BORGES SUNFLOWER OIL 2L ,EGP77.95
Elmatbakh Elmasry Flour 1 kg ,EGP16.95
"507 Golden Parboiled Basmati Rice, 1 kg ",EGP62.95
Ion break choco almond w orange&lemon 85gm ,EGP31.50
Ion Break Dark Chocolate W Hazelnut 85 gm ,EGP31.50
Ion break white choco w almonds& raisins 85gm ,EGP31.50
Ion Break Milk Chocolate 85gm ,EGP31.50
Ion Break Almond Chocolate 85gm ,EGP31.50
Abu Auf Hot Chocolate 250 gm ,EGP58.50
Schogeten For Kids100g ,EGP32.50
Shahd Sunflower Oil 900 ML ,EGP40.95
Shahd Corn Oil 900 ml ,EGP46.95
Rehana Natural Vinegar - 900 gm ,EGP7.95
COLO Soft Melt Cocoa Bar 2Pcs ,EGP4.00
COLO Soft Melt Vanilla Striped Bar 2Pcs ,EGP4.00
Freez Lychee 275 ml ,EGP25.50
AbuAuf Dried Apricots (8)1kg ,EGP155.00
AbuAuf Macadamia Cheese 1kg ,"EGP1,110.00"
AbuAuf Popcorn Car.&Cinamon1kg ,EGP120.00
AbuAuf Popcorn Car.&Choco1kg ,EGP120.00
AbuAuf Dried pomegranate 1kg ,EGP320.00
AbuAuf Dried mint 1kg ,EGP59.95
poppins choco bits 375 g ,EGP51.95
poppins choco bumps 375 g ,EGP51.95
Diamond Rice Basmati Indian 900gm ,EGP49.95
May Gold Sparkling Fruit Cocktail Juice 750 ml ,EGP81.95
Sinbad Mix Oil 700 gm ,EGP27.50
Rehana Egyptian White Rice - 1 Kg ,EGP16.50
Rehan flour 1 kg ,EGP16.50
Rehana Yellow lentils - 500 gm ,EGP16.95
Rehana Pop corn- 500 gm ,EGP14.50
Castania cashew 100 g ,EGP130.95
Castania pistachio 100 g ,EGP130.95
Castania mixed nuts hearts 100 g ,EGP130.95
Herman Ketchup Cool340c ,EGP9.95
Jammies Jolly Figs 430g ,EGP34.95
DANAO Mango 1L ,EGP24.95
DANAO Guava 1L ,EGP24.95
DANAO Strawberry Banana 1L ,EGP24.95
Halwani Halawa Plain 1.1 kg ,EGP47.50
Noor Sunflower Oil 1.8 ltr ,EGP87.95
FRESHLY HOME THEATRE MICROWAVE POPCORN ,EGP69.95
Alpen Fruit Nut & Chocolate 29g ,EGP12.75
 Alpen Strawberry & Yogurt 29g ,EGP12.75
Roshen Dark Chocolate 80% 85g ,EGP42.50
kelloggs noodels Beef 120gm ,EGP4.00
kelloggs noodels Sausage120 gm ,EGP4.00
kelloggs noodels Vegetable 70G ,EGP3.00
kelloggs noodels Sausage 70G ,EGP3.00
kelloggs noodels Beef 70G ,EGP3.00
Jardino Ketchup 500 G ,EGP18.50
AbuAuf Almonds 400 g ,EGP144.95
AbuAuf Peeled Almonds 400gr ,EGP119.95
AbuAuf Walnut quarters 400gr ,EGP119.95
AbuAuf Pistachios 400gr ,EGP179.95
 AbuAuf Cashew 400gr ,EGP179.95
Milka Chips Ahoy Chocolate – 100gm ,EGP29.95
Mirinda Cans 150 ml ,EGP13.95
Freez Mojito Fraise 275ml ,EGP25.50
Toya Hot sauce 150 ml ,EGP18.25
AbuAuf Roasted Cashew 320 1kg ,EGP289.95
AbuAuf Almonds BBQ 1kg ,EGP374.95
AbuAuf Coco Powder 1kg ,EGP145.00
AbuAuf Salted Corn 1kg ,EGP100.00
AbuAuf Sun flower Roasted 1kg ,EGP85.00
AbuAuf Crushed Carob 1kg ,EGP54.95
AbuAuf Grind nutmeg 1kg ,EGP850.00
AbuAuf Salt Himalaya Rocks1kg ,EGP59.95
AbuAuf Cooking Oats Flour 1kg ,EGP65.00
AbuAuf Lemon grass 1kg ,EGP104.00
AbuAuf Grind White Pepper 1kg ,EGP309.95
AbuAuf Toffee Mix Fruit 1kg ,EGP54.95
 AbuAuf Jelly Cola Delights 1kg ,EGP55.00
AbuAuf Almond Dates 1kg ,EGP170.00
AbuAuf Mix Peleed Pumpkin1kg ,EGP300.00
AbuAuf Turkish Apricots 1kg ,EGP360.00
AbuAuf S.flower R.Flavours1kg ,EGP80.00
AbuAuf Nuts Steamed Mix 1kg ,EGP504.95
AbuAuf Helba 1kg ,EGP29.95
AbuAuf Fruit Jelly 1kg ,EGP54.95
AbuAuf Peanuts Nougat 1kg ,EGP109.95
AbuAuf Steamed Almonds 1kg ,EGP374.95
AbuAuf Steamed Pistachios 1kg ,EGP870.00
AbuAuf Steamed Pecan 1kg ,EGP780.00
AbuAuf Salted Peanuts 1kg ,EGP85.00
AbuAuf Steamed Hazelnut1kg ,EGP360.00
AbuAuf super Smoked Seeds 1kg ,EGP130.00
AbuAuf Sliced D. Strawberri1kg ,EGP300.00
AbuAuf Dried Papaya 1kg ,EGP290.00
AbuAuf Dried Cantaloupe 1kg ,EGP290.00
AbuAuf Dried Apricots (4) 1kg ,EGP360.00
AbuAuf Prunes 50/601kg ,EGP120.00
AbuAuf Sahara Dates-Almond 1kg ,EGP254.95
AbuAuf Dried apples 1kg ,EGP266.00
AbuAuf Dried Banana 1kg ,EGP330.00
AbuAuf Mix Benson 1kg  ,EGP50.00
AbuAuf Malban Pistachio Ext1kg ,EGP409.95
AbuAuf Laurie 1kg ,EGP89.95
AbuAuf UnSalted Pretzels 1kg ,EGP59.95
AbuAuf Lebanese thyme 1kg ,EGP59.95
AbuAuf Mehawej Brazilian 1kg ,EGP240.00
AbuAuf Raw Almonds Small 1kg ,EGP315.00
AbuAuf Licorice 1kg ,EGP84.95
AbuAuf Sausage Spices 1kg ,EGP114.95
AbuAuf Peanut Butter 1kg ,EGP100.00
AbuAuf Sodium bicarbonate1kg ,EGP49.95
AbuAuf Steamed Cashew 2401kg ,EGP480.00
AbuAuf Salted Chickpeas 1kg ,EGP150.00
AbuAuf Masala Beryani 1kg ,EGP114.95
AbuAuf Sliced Dried Kiwi 1kg ,EGP300.00
Sheikhoun Baladi Mixed Tarshi Kg  ,EGP11.50
Sheikhoun Pickled onions with precision kg ,EGP32.95
AbuAuf Iranian Pistachios 1kg ,EGP490.00
Sheikhoun lemon kilo ,EGP20.95
AbuAuf Masala Garm 1kg ,EGP119.95
Sheikhoun black olives sliced per kilo ,EGP59.95
Sheikhoun green olives sliced per kilo ,EGP59.95
Sheikhoun jumbo spanish olives per kilo ,EGP58.95
AbuAuf Cheese Chickpeas 1kg ,EGP150.00
AbuAuf Slamke 1kg ,EGP59.95
AbuAuf Hazelnut Butter 1kg ,EGP300.00
AbuAuf Red Egyptian Raisins1kg ,EGP37.00
AbuAuf Peanuts Cheese 1kg ,EGP90.00
AbuAuf Masala tandori 1kg ,EGP109.95
AbuAuf Soy Beans 1kg ,EGP49.95
AbuAuf Med. Mehawej Brazili1kg ,EGP289.95
AbuAuf Toffee Chocolate 1kg ,EGP65.00
AbuAuf Meat Spices 1kg ,EGP89.95
AbuAuf Nigella Sative 1kg ,EGP114.95
AbuAuf Sauce Cheese 1kg ,EGP179.95
AbuAuf Walnuts pieces 1kg ,EGP265.00
 AbuAuf Hazelnut Coffee 1kg ,EGP240.00
AbuAuf Paprika 1kg ,EGP104.95
AbuAuf Mustard Indian 1kg ,EGP94.95
AbuAuf Spanish Walnuts1kg ,EGP90.00
AbuAuf Peanuts Chili-Lemon 1kg ,EGP90.00
AbuAuf Powder Garlic 1kg ,EGP54.95
AbuAuf Salted Macadamia 1kg ,"EGP1,105.00"
AbuAuf Tostino Cheese 1kg ,EGP75.00
AbuAuf Malakaby Dates 1kg ,EGP179.95
AbuAuf Sliced Dried Mango 1kg ,EGP290.00
AbuAuf Zaatar Arayshi 1kg ,EGP174.95
AbuAuf Starch 1kg ,EGP29.95
AbuAuf Red pepper 1kg ,EGP54.95
AbuAuf Saffron 1kg ,"EGP8,500.00"
AbuAuf California Pistachio1kg ,EGP399.95
AbuAuf Prunes with pits1kg ,EGP240.00
AbuAuf Dark Mehawej Brazil1kg ,EGP289.95
AbuAuf Stuffed Spices 1kg ,EGP94.95
AbuAuf Vegetables Spices 1kg ,EGP94.95
AbuAuf Shawerma Spices 1kg ,EGP114.95
AbuAuf Munchies Mix flavor 1kg ,EGP160.00
AbuAuf Prunes w/t pits 1kg ,EGP270.00
AbuAuf Stone black pepper1kg ,EGP139.95
AbuAuf Stone coriander 1kg ,EGP54.95
AbuAuf Coconut Flour 1kg ,EGP150.00
AbuAuf Dried Coconut 1kg  ,EGP359.95
AbuAuf Corn Chili & Lemon 1kg ,EGP100.00
AbuAuf Sauce Bechamel 1kg ,EGP84.95
AbuAuf Star Anise 1kg ,EGP569.95
AbuAuf Tostino Ketchup 1kg ,EGP75.00
AbuAuf Cashew Cheese 1kg ,EGP480.00
AbuAuf Goji Berries 1kg ,EGP475.00
AbuAuf White Beans 1kg ,EGP44.95
AbuAuf Oats Flour 1kg ,EGP50.00
AbuAuf Paprika Smoked 1kg ,EGP129.95
AbuAuf Prunes pits Jumbo1kg ,EGP260.00
AbuAuf Cashew Smoked 1kg ,EGP480.00
AbuAuf Stone cumin 1kg ,EGP109.95
AbuAuf Dried Orange 1kg ,EGP300.00
AbuAuf Life Medjoul Dates1kg ,EGP145.00
AbuAuf Golden Raisins 1kg ,EGP160.00
AbuAuf Kidney Beans 1kg ,EGP39.95
AbuAuf Blanched Almonds 1kg ,EGP395.00
AbuAuf Salted Spanish Corn 1kg ,EGP100.00
AbuAuf Spanish Corn Chili 1kg ,EGP100.00
AbuAuf Corn flakes 1kg ,EGP120.00
AbuAuf Spanish Corn BBQ1kg ,EGP100.00
AbuAuf Stone Kbaba chines 1kg ,EGP289.95
AbuAuf Stone White pepper1kg ,EGP309.95
AbuAuf Salted Pecan 1kg ,EGP780.00
AbuAuf Sumac 1kg ,EGP119.95
AbuAuf Fankosh 1kg ,EGP34.95
AbuAuf California Almond r.1kg ,EGP269.95
AbuAuf Garden Cress 1kg ,EGP94.95
AbuAuf Unsalt R.Sun Flower1kg ,EGP120.00
AbuAuf Turkish Figs 1kg ,EGP290.00
AbuAuf Flavor Tomato 1kg ,EGP89.95
AbuAuf Black beans 1kg ,EGP29.95
AbuAuf liver Spices 1kg ,EGP84.95
AbuAuf Yellow lentils 1kg ,EGP39.95
AbuAuf Mix Peleed Sun 1kg ,EGP150.00
AbuAuf Lemon Salt 1kg ,EGP129.95
AbuAuf Powder onion 1kg ,EGP59.95
AbuAuf Dried Apricots Large1kg ,EGP360.00
AbuAuf Tamarind Powder 1kg ,EGP40.00
AbuAuf Popcorn Caramel1kg ,EGP120.00
AbuAuf Popcorn Sal.-Caramel1kg ,EGP120.00
AbuAuf Dried beets 1kg ,EGP290.00
AbuAuf Dried Tomatoes 1kg ,EGP330.00
AbuAuf Coarse Coconut 1kg ,EGP130.00
AbuAuf Cashew BBQ flavor 1kg ,EGP480.00
AbuAuf Flavor Cheese 1kg ,EGP89.95
AbuAuf Black lentils 1kg ,EGP39.95
AbuAuf Maamoul date 1kg ,EGP144.95
AbuAuf Maamoul Cinamon 1kg ,EGP108.95
AbuAuf Maamoul-Chocolate 1kg ,EGP194.95
AbuAuf Moghat 1kg ,EGP109.95
AbuAuf Molakhea 1kg ,EGP39.95
AbuAuf Shish tawook Spices 1kg ,EGP114.95
 AbuAuf Maamoul White Choco1kg ,EGP194.95
AbuAuf Shamar 1kg ,EGP49.95
AbuAuf Pistachios Ch.-lemon1kg ,EGP590.00
AbuAuf Flavor Chilli&lemon 1kg ,EGP89.95
AbuAuf Celery dryer 1kg ,EGP45.00
AbuAuf Chinese Crackers 1kg ,EGP205.00
AbuAuf Dried Fruits Mix 1kg ,EGP200.00
AbuAuf Munchies Papper 1kg ,EGP205.00
AbuAuf Munchies Chili 1kg ,EGP205.00
AbuAuf Jumbo broad beans 1kg ,EGP39.95
AbuAuf Munchies Cheese 1kg ,EGP205.00
AbuAuf Raw Cardamon 1kg ,EGP909.95
AbuAuf Stone nutmeg 1kg ,EGP850.00
AbuAuf Coffee Brazil Medium1kg ,EGP215.00
AbuAuf Arabic Coffee blend 1kg ,EGP530.00
AbuAuf Flavor Hot Ketchup 1kg ,EGP89.95
AbuAuf Cof. Columbian Light1kg ,EGP350.00
AbuAuf Coffee Blend Special1kg ,EGP395.00
AbuAuf Almonds Smoked 1kg ,EGP374.95
AbuAuf super salted seeds 1kg ,EGP154.95
AbuAuf Coffee Brazil Dark 1kg ,EGP215.00
AbuAuf Karawia 1kg ,EGP84.95
AbuAuf Jumbo White beans1kg ,EGP89.95
AbuAuf Coffee Dark 1kg ,EGP250.00
AbuAuf Coffee Blend Supreme1kg ,EGP405.00
AbuAuf Raw Almonds Large 1kg ,EGP335.00
AbuAuf Almonds in shell 1kg ,EGP155.00
AbuAuf Potato spices 1kg ,EGP94.95
AbuAuf Bulgur Syrian Powder1kg ,EGP29.95
AbuAuf Flavor Sweet Ketchup1kg ,EGP89.95
AbuAuf Hazelnut in shell 1kg ,EGP155.00
AbuAuf Frick 1kg ,EGP29.95
AbuAuf Raw Hazelnut 1kg ,EGP355.00
AbuAuf Raw Pecan 1kg ,EGP660.00
AbuAuf Pine Kernels 1kg ,"EGP2,400.00"
AbuAuf Wheat (beleela) 1kg ,EGP19.95
 AbuAuf Peeled Pistachios 1kg ,EGP800.00
AbuAuf Walnuts in shell 1kg ,EGP155.00
AbuAuf Pumpkin Seeds 1kg ,EGP179.95
AbuAuf Syrian thyme 1kg ,EGP50.00
AbuAuf Peeled S.Flower 1kg ,EGP85.00
 AbuAuf Peeled Pumpkin Seed1kg ,EGP225.00
AbuAuf Medium Mehawej C. 1kg ,EGP325.00
AbuAuf Chamomile 1kg ,EGP144.95
AbuAuf Cashew Lemon-Chili 1kg ,EGP480.00
AbuAuf Pistachios S. chili 1kg ,EGP490.00
AbuAuf Red SyrianThyme 1kg ,EGP64.95
AbuAuf Basmati rice 1kg ,EGP29.95
AbuAuf Hibiscus 1kg ,EGP120.00
AbuAuf Grind Lupine 1kg ,EGP30.00
AbuAuf Chickpeas 1kg ,EGP49.95
AbuAuf Quick Cooking Oats 1kg ,EGP59.95
AbuAuf Dark Mehawej Coffee 1kg ,EGP325.00
AbuAuf Whole Carobs 1kg ,EGP120.00
AbuAuf Watermelon Seeds 1kg ,EGP140.00
